field_1	heap
field_10249	POTTED_ORANGE_TULIP
field_1025	name
field_10250	STRIPPED_OAK_WOOD
field_10251	BROWN_MUSHROOM
field_10252	STONE_BRICK_WALL
field_10253	COARSE_DIRT
field_10254	STRIPPED_JUNGLE_LOG
field_10255	GRAVEL
field_10256	ACACIA_STAIRS
field_10257	BIRCH_SLAB
field_10258	SPONGE
field_10259	PURPLE_WOOL
field_1026	levels
field_10260	SPAWNER
field_10261	PUMPKIN
field_10262	SMOOTH_SANDSTONE_SLAB
field_10263	REPEATING_COMMAND_BLOCK
field_10264	DEAD_BRAIN_CORAL_BLOCK
field_10265	DARK_OAK_WALL_SIGN
field_10266	NETHER_BRICKS
field_10267	GRAY_WALL_BANNER
field_10268	PURPLE_SHULKER_BOX
field_10269	BRICK_WALL
field_1027	treasure
field_10270	RED_TULIP
field_10271	LIGHT_BLUE_STAINED_GLASS
field_10272	RED_STAINED_GLASS
field_10273	POTTED_LILY_OF_THE_VALLEY
field_10274	MAGENTA_WALL_BANNER
field_10275	LIME_SHULKER_BOX
field_10276	JUNGLE_SAPLING
field_10277	INFESTED_STONE
field_10278	ACACIA_BUTTON
field_10279	RED_WALL_BANNER
field_1028	levels
field_10280	ORANGE_GLAZED_TERRACOTTA
field_10281	BLUE_BANNER
field_10282	OBSERVER
field_10283	SMOOTH_RED_SANDSTONE_SLAB
field_10284	ACACIA_SIGN
field_10285	GLASS_PANE
field_10286	PURPUR_BLOCK
field_10287	RED_CONCRETE_POWDER
field_10288	BROWN_BED
field_10289	POLISHED_GRANITE
field_1029	treasure
field_10290	LIGHT_BLUE_CARPET
field_10291	SPRUCE_FENCE_GATE
field_10292	CHISELED_SANDSTONE
field_10293	WHEAT
field_10294	LIGHT_BLUE_WOOL
field_10295	ICE
field_10296	DEAD_BUBBLE_CORAL
field_10297	DARK_PRISMARINE
field_10298	PETRIFIED_OAK_SLAB
field_10299	BIRCH_FENCE
field_103	BANNER_BLACK
field_1030	enchantments
field_10300	MAGENTA_CONCRETE_POWDER
field_10301	REDSTONE_WALL_TORCH
field_10302	COCOA
field_10303	JUNGLE_WOOD
field_10304	POTTED_JUNGLE_SAPLING
field_10305	LIME_STAINED_GLASS_PANE
field_10306	JUNGLE_LOG
field_10307	BIRCH_WOOD
field_10308	CYAN_CONCRETE
field_10309	TUBE_CORAL_BLOCK
field_1031	LOGGER
field_10310	POLISHED_DIORITE_STAIRS
field_10311	RED_NETHER_BRICK_WALL
field_10312	HOPPER
field_10313	LARGE_FERN
field_10314	RED_WOOL
field_10315	PINK_TULIP
field_10316	NETHER_PORTAL
field_10317	PINK_STAINED_GLASS
field_10318	LIME_WALL_BANNER
field_10319	JUNGLE_FENCE
field_1032	searchRadius
